정류장 고유번호,정류장 명,위도,경도
32073,합강리,36.52643,127.33143
32063,응암농공단지,36.54621,127.33419
32024,명학산업단지 관리사무소,36.5377697,127.3369857
32023,명학산업단지 관리사무소,36.5379229,127.3369072
32072,합강2리(합강공원),36.5176769,127.3397464
32071,합강2리(합강공원),36.51779,127.33971
32025,명학산업단지,36.53897,127.34062
36046,성제1리마을회관,36.59183,127.26913
36047,성제1리마을회관,36.59196,127.26919
36068,쌍전리(우리요양원),36.57806,127.26923
36037,부동리마을회관,36.5596356,127.2696102
36036,부동리마을회관,36.559699,127.2697497
36077,연서면사무소,36.59184,127.27115
36076,연서면사무소,36.59204,127.2716
36011,국촌1리,36.57297,127.2725
36100,월하1리마을회관,36.59354,127.27439
36101,월하1리마을회관,36.59373,127.27467
36031,방축골,36.59433,127.27733
36034,대원아파트,36.55833,127.27817
36013,국촌1리(함박산),36.5715,127.27887
36014,국촌1리(함박산),36.57137,127.27907
36070,쌍전리마을회관,36.57776,127.27925
36071,쌍전리마을회관,36.5777729,127.2791041
36028,대원아파트후문,36.56068,127.28087
36054,세종장례식장,36.57148,127.28215
36073,봉암리,36.56358,127.28305
36072,봉암리,36.56387,127.28345
36102,월하2리,36.58373,127.28447
36049,세종교통,36.56604,127.28472
36050,세종교통,36.56604,127.28491
36029,도원초등학교,36.58576,127.28655
36053,세종장례식장입구,36.57023,127.28746
36098,세종장례식장입구,36.5700498,127.2875721
36052,세종장례식장입구,36.5703293,127.2875669
36099,세종장례식장입구,36.5700006,127.2877801
36106,월하리(항공학교),36.57537,127.29147
36103,월하리(항공학교),36.57633,127.29212
36104,월하리,36.57825,127.29256
36105,월하리,36.57842,127.29276
35025,송학2리(언고개),36.54245,127.18782
35028,송학2리(언고개),36.54252,127.18796
35061,하봉리마을회관,36.49593,127.19032
35027,송학2리(하나로마트),36.53849,127.19066
35026,송학2리(하나로마트),36.53804,127.19126
35045,은용리,36.48912,127.19574
35051,평기리,36.51348,127.19699
35052,평기리,36.51352,127.19715
35023,송문리입구,36.51462,127.19736
35055,평기리마을회관,36.51018,127.19748
35060,하봉교차로,36.48961,127.1977
35024,송문리입구,36.5148,127.19775
35056,평기리마을회관,36.51012,127.19785
35059,하봉교차로,36.48959,127.19782
35053,평기리(아랫말),36.50672,127.19963
35049,장기중학교,36.49386,127.20217
35038,용현길입구,36.5401855,127.2020559
35048,장기중학교,36.49398,127.20235
35039,용현리,36.54304,127.20454
35047,장군면사무소,36.49684,127.20511
35046,장군면사무소,36.49714,127.20531
35057,평촌입구,36.54709,127.20582
35010,대교1리(밤실입구),36.50224,127.20701
35009,대교1리(밤실입구),36.50234,127.20716
35050,장기초등학교,36.49667,127.20729
35006,금암리노인정,36.43813,127.2084
35007,금암리노인정,36.43827,127.2085
35033,용암1리마을회관,36.54878,127.20851
35041,금암리(웅대원룸),36.44168,127.20892
35003,영상마을아파트,36.44327,127.20992
35030,금암리(정보마을영조아파트),36.44864,127.2104
35029,금암리(정보마을영조아파트),36.44884,127.21055
35011,대교리,36.50069,127.21053
35001,금암리(그린원룸),36.45103,127.21064
35022,금암리(어반스테이),36.44591,127.21077
35062,한국영상대학교,36.46158,127.21124
35034,용암2리마을회관,36.56224,127.21266
35018,봉안리(부일가든),36.50061,127.21556
35037,용암2리입구,36.5519867,127.2154951
35043,은용1리,36.49328,127.21577
31007,수왕초등학교,36.54498,127.25486
31029,수왕초등학교,36.54508,127.25503
31006,눌왕1리(도덕농장),36.54496,127.25815
31005,눌왕1리(도덕농장),36.54482,127.25815
31056,"해밀동,산울동",36.528653,127.2638902
34085,용담리(32사 방면),36.42269,127.28438
34084,용담리,36.42278,127.28449
